% Moku:Go Oscilloscope
% Channel A (Input 1), DC coupling, 1 x probe attenuation
% Channel B (Output 1), DC coupling, 10 x probe attenuation
% Time span 1.000 ms, time offset -2.372 ms, Precision acquisition mode, 100 averages
% Edge trigger: Channel A, level 783.5 mV, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 (off) - Sine, 10.000 000 000 000 MHz, 1.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Output 2 (off) - Sine, 200.000 000 Hz, 5.000 0 Vpp, offset 0.000 0 V, phase 0.000 000 deg
% Acquired 2025-03-25 T 15:24:17 +0100
% Time (s), Channel A (Input 1) (V)
2.124408000000e-03, 1.956612e+00
2.125464000000e-03, 1.956572e+00
2.126520000000e-03, 1.956592e+00
2.127576000000e-03, 1.956560e+00
2.128632000000e-03, 1.956590e+00
2.129688000000e-03, 1.956793e+00
2.130744000000e-03, 1.956735e+00
2.131800000000e-03, 1.956831e+00
2.132856000000e-03, 1.956720e+00
2.133912000000e-03, 1.956674e+00
2.134968000000e-03, 1.956773e+00
2.136024000000e-03, 1.956924e+00
2.137080000000e-03, 1.956774e+00
2.138136000000e-03, 1.956755e+00
2.139192000000e-03, 1.956711e+00
2.140248000000e-03, 1.956680e+00
2.141304000000e-03, 1.956599e+00
2.142360000000e-03, 1.956650e+00
2.143416000000e-03, 1.956779e+00
2.144472000000e-03, 1.956679e+00
2.145528000000e-03, 1.956604e+00
2.146584000000e-03, 1.956803e+00
2.147640000000e-03, 1.956671e+00
2.148696000000e-03, 1.956947e+00
2.149752000000e-03, 1.956855e+00
2.150808000000e-03, 1.956708e+00
2.151864000000e-03, 1.956745e+00
2.152920000000e-03, 1.956665e+00
2.153976000000e-03, 1.956491e+00
2.155032000000e-03, 1.956624e+00
2.156088000000e-03, 1.956581e+00
2.157144000000e-03, 1.956586e+00
2.158200000000e-03, 1.956577e+00
2.159256000000e-03, 1.956687e+00
2.160312000000e-03, 1.956613e+00
2.161368000000e-03, 1.956852e+00
2.162424000000e-03, 1.956702e+00
2.163480000000e-03, 1.956826e+00
2.164536000000e-03, 1.956868e+00
2.165592000000e-03, 1.956989e+00
2.166648000000e-03, 1.956676e+00
2.167704000000e-03, 1.956677e+00
2.168760000000e-03, 1.956577e+00
2.169816000000e-03, 1.956496e+00
2.170872000000e-03, 1.956672e+00
2.171928000000e-03, 1.956813e+00
2.172984000000e-03, 1.956641e+00
2.174040000000e-03, 1.956669e+00
2.175096000000e-03, 1.956607e+00
2.176152000000e-03, 1.956682e+00
2.177208000000e-03, 1.956679e+00
2.178264000000e-03, 1.956607e+00
2.179320000000e-03, 1.956661e+00
2.180376000000e-03, 1.956558e+00
2.181432000000e-03, 1.956838e+00
2.182488000000e-03, 1.956693e+00
2.183544000000e-03, 1.956776e+00
2.184600000000e-03, 1.956712e+00
2.185656000000e-03, 1.956640e+00
2.186712000000e-03, 1.956374e+00
2.187768000000e-03, 1.956418e+00
2.188824000000e-03, 1.956457e+00
2.189880000000e-03, 1.956474e+00
2.190936000000e-03, 1.956517e+00
2.191992000000e-03, 1.956436e+00
2.193048000000e-03, 1.956678e+00
2.194104000000e-03, 1.956621e+00
2.195160000000e-03, 1.956684e+00
2.196216000000e-03, 1.956480e+00
2.197272000000e-03, 1.956536e+00
2.198328000000e-03, 1.956545e+00
2.199384000000e-03, 1.956638e+00
2.200440000000e-03, 1.956567e+00
2.201496000000e-03, 1.956725e+00
2.202552000000e-03, 1.956869e+00
2.203608000000e-03, 1.956766e+00
2.204664000000e-03, 1.956648e+00
2.205720000000e-03, 1.956675e+00
2.206776000000e-03, 1.956748e+00
2.207832000000e-03, 1.956530e+00
2.208888000000e-03, 1.956747e+00
2.209944000000e-03, 1.956612e+00
2.211000000000e-03, 1.956591e+00
2.212056000000e-03, 1.956615e+00
2.213112000000e-03, 1.956941e+00
2.214168000000e-03, 1.956773e+00
2.215224000000e-03, 1.956691e+00
2.216280000000e-03, 1.956457e+00
2.217336000000e-03, 1.956618e+00
2.218392000000e-03, 1.956799e+00
2.219448000000e-03, 1.956700e+00
2.220504000000e-03, 1.956713e+00
2.221560000000e-03, 1.956661e+00
2.222616000000e-03, 1.956527e+00
2.223672000000e-03, 1.956686e+00
2.224728000000e-03, 1.956819e+00
2.225784000000e-03, 1.956642e+00
2.226840000000e-03, 1.956544e+00
2.227896000000e-03, 1.956492e+00
2.228952000000e-03, 1.956489e+00
2.230008000000e-03, 1.956398e+00
2.231064000000e-03, 1.956604e+00
2.232120000000e-03, 1.956474e+00
2.233176000000e-03, 1.956468e+00
2.234232000000e-03, 1.956709e+00
2.235288000000e-03, 1.956667e+00
2.236344000000e-03, 1.956887e+00
2.237400000000e-03, 1.956803e+00
2.238456000000e-03, 1.956516e+00
2.239512000000e-03, 1.956452e+00
2.240568000000e-03, 1.956398e+00
2.241624000000e-03, 1.956233e+00
2.242680000000e-03, 1.956371e+00
2.243736000000e-03, 1.956429e+00
2.244792000000e-03, 1.956615e+00
2.245848000000e-03, 1.956561e+00
2.246904000000e-03, 1.956670e+00
2.247960000000e-03, 1.956576e+00
2.249016000000e-03, 1.956641e+00
2.250072000000e-03, 1.956489e+00
2.251128000000e-03, 1.956647e+00
2.252184000000e-03, 1.956638e+00
2.253240000000e-03, 1.956481e+00
2.254296000000e-03, 1.956516e+00
2.255352000000e-03, 1.956488e+00
2.256408000000e-03, 1.956556e+00
2.257464000000e-03, 1.956417e+00
2.258520000000e-03, 1.956409e+00
2.259576000000e-03, 1.956530e+00
2.260632000000e-03, 1.956575e+00
2.261688000000e-03, 1.956559e+00
2.262744000000e-03, 1.956580e+00
2.263800000000e-03, 1.956542e+00
2.264856000000e-03, 1.956511e+00
2.265912000000e-03, 1.956519e+00
2.266968000000e-03, 1.956661e+00
2.268024000000e-03, 1.956592e+00
2.269080000000e-03, 1.956582e+00
2.270136000000e-03, 1.956570e+00
2.271192000000e-03, 1.956273e+00
2.272248000000e-03, 1.956417e+00
2.273304000000e-03, 1.956425e+00
2.274360000000e-03, 1.956194e+00
2.275416000000e-03, 1.956536e+00
2.276472000000e-03, 1.956513e+00
2.277528000000e-03, 1.956626e+00
2.278584000000e-03, 1.956566e+00
2.279640000000e-03, 1.956400e+00
2.280696000000e-03, 1.956281e+00
2.281752000000e-03, 1.956063e+00
2.282808000000e-03, 1.956293e+00
2.283864000000e-03, 1.956377e+00
2.284920000000e-03, 1.956484e+00
2.285976000000e-03, 1.956340e+00
2.287032000000e-03, 1.956506e+00
2.288088000000e-03, 1.956574e+00
2.289144000000e-03, 1.956437e+00
2.290200000000e-03, 1.956408e+00
2.291256000000e-03, 1.956345e+00
2.292312000000e-03, 1.956144e+00
2.293368000000e-03, 1.956226e+00
2.294424000000e-03, 1.956222e+00
2.295480000000e-03, 1.956344e+00
2.296536000000e-03, 1.956256e+00
2.297592000000e-03, 1.956310e+00
2.298648000000e-03, 1.956149e+00
2.299704000000e-03, 1.956134e+00
2.300760000000e-03, 1.956054e+00
2.301816000000e-03, 1.956188e+00
2.302872000000e-03, 1.956018e+00
2.303928000000e-03, 1.955926e+00
2.304984000000e-03, 1.955857e+00
2.306040000000e-03, 1.955870e+00
2.307096000000e-03, 1.955895e+00
2.308152000000e-03, 1.955737e+00
2.309208000000e-03, 1.955592e+00
2.310264000000e-03, 1.955485e+00
2.311320000000e-03, 1.955550e+00
2.312376000000e-03, 1.955542e+00
2.313432000000e-03, 1.955690e+00
2.314488000000e-03, 1.955470e+00
2.315544000000e-03, 1.955678e+00
2.316600000000e-03, 1.955520e+00
2.317656000000e-03, 1.955592e+00
2.318712000000e-03, 1.955363e+00
