alpha_deg	beta_deg	gamma_deg	sse	sum_diff
118.00	114.00	11.00	0.03748785	-0.22182456
118.00	114.00	79.00	0.03748785	-0.22182456
118.00	114.00	101.00	0.03748785	-0.22182456
118.00	114.00	169.00	0.03748785	-0.22182456
119.00	66.00	79.00	0.03748785	-0.22182456
119.00	66.00	169.00	0.03748785	-0.22182456
119.00	114.00	11.00	0.03748785	-0.22182456
119.00	114.00	101.00	0.03748785	-0.22182456
120.00	66.00	79.00	0.03748785	-0.22182456
120.00	66.00	169.00	0.03748785	-0.22182456
120.00	114.00	11.00	0.03748785	-0.22182456
120.00	114.00	101.00	0.03748785	-0.22182456
121.00	66.00	79.00	0.03748785	-0.22182456
121.00	66.00	169.00	0.03748785	-0.22182456
121.00	114.00	11.00	0.03748785	-0.22182456
121.00	114.00	101.00	0.03748785	-0.22182456
122.00	66.00	79.00	0.03748785	-0.22182456
122.00	66.00	169.00	0.03748785	-0.22182456
122.00	114.00	11.00	0.03748785	-0.22182456
122.00	114.00	101.00	0.03748785	-0.22182456
123.00	66.00	79.00	0.03748785	-0.22182456
123.00	66.00	169.00	0.03748785	-0.22182456
123.00	114.00	11.00	0.03748785	-0.22182456
123.00	114.00	101.00	0.03748785	-0.22182456
124.00	66.00	79.00	0.03748785	-0.22182456
124.00	66.00	169.00	0.03748785	-0.22182456
124.00	114.00	11.00	0.03748785	-0.22182456
124.00	114.00	101.00	0.03748785	-0.22182456
125.00	66.00	79.00	0.03748785	-0.22182456
125.00	66.00	169.00	0.03748785	-0.22182456
125.00	114.00	11.00	0.03748785	-0.22182456
125.00	114.00	101.00	0.03748785	-0.22182456
126.00	66.00	79.00	0.03748785	-0.22182456
126.00	66.00	169.00	0.03748785	-0.22182456
126.00	114.00	11.00	0.03748785	-0.22182456
126.00	114.00	101.00	0.03748785	-0.22182456
127.00	66.00	79.00	0.03748785	-0.22182456
127.00	66.00	169.00	0.03748785	-0.22182456
127.00	114.00	11.00	0.03748785	-0.22182456
127.00	114.00	101.00	0.03748785	-0.22182456
