alpha_deg	beta_deg	gamma_deg	sse	sum_diff
172.00	19.00	31.00	0.054450291	-0.19308555
172.00	19.00	121.00	0.054450291	-0.19308555
172.00	20.00	20.00	0.054425704	-0.20745505
172.00	20.00	21.00	0.053801515	-0.20540227
172.00	20.00	22.00	0.053400729	-0.20540227
172.00	20.00	23.00	0.053039272	-0.20540227
172.00	20.00	24.00	0.052464862	-0.20266522
172.00	20.00	25.00	0.052179256	-0.20266522
172.00	20.00	26.00	0.051935838	-0.2012967
172.00	20.00	27.00	0.051728893	-0.2012967
172.00	20.00	28.00	0.051225749	-0.19924391
172.00	20.00	29.00	0.051172279	-0.19855965
172.00	20.00	30.00	0.050995662	-0.19650686
172.00	20.00	32.00	0.050995082	-0.19513834
172.00	20.00	122.00	0.050995082	-0.19513834
172.00	21.00	21.00	0.050818523	-0.20950784
172.00	21.00	22.00	0.050275251	-0.20882358
172.00	21.00	23.00	0.04978048	-0.20745505
172.00	21.00	24.00	0.049325232	-0.20677079
172.00	21.00	25.00	0.048998039	-0.20540227
172.00	21.00	26.00	0.048672315	-0.20471801
172.00	21.00	27.00	0.048362957	-0.20334948
172.00	21.00	28.00	0.048065077	-0.2012967
172.00	21.00	29.00	0.047940538	-0.2012967
172.00	21.00	30.00	0.047691259	-0.19924391
172.00	21.00	120.00	0.047691259	-0.19924391
172.00	22.00	22.00	0.047478266	-0.21156063
172.00	22.00	23.00	0.046983688	-0.21087636
172.00	22.00	24.00	0.046526375	-0.20950784
172.00	22.00	25.00	0.046182462	-0.20813932
172.00	22.00	26.00	0.045760832	-0.20745505
172.00	22.00	27.00	0.045537079	-0.20608653
172.00	22.00	28.00	0.045276416	-0.20471801
172.00	22.00	29.00	0.045157494	-0.20471801
172.00	22.00	30.00	0.04478914	-0.20198096
172.00	22.00	120.00	0.04478914	-0.20198096
172.00	23.00	23.00	0.044504153	-0.21361341
172.00	23.00	24.00	0.04387355	-0.21224489
172.00	23.00	25.00	0.043330563	-0.21156063
172.00	23.00	26.00	0.043038155	-0.2101921
172.00	23.00	27.00	0.04282928	-0.20950784
172.00	23.00	28.00	0.042572362	-0.20813932
172.00	23.00	29.00	0.04232364	-0.20608653
172.00	23.00	31.00	0.042231873	-0.20403374
172.00	23.00	32.00	0.042073427	-0.20198096
172.00	23.00	122.00	0.042073427	-0.20198096
