alpha_deg	beta_deg	gamma_deg	sse
91.00	103.00	96.00	0.00540728
91.00	103.00	103.00	0.00200889
91.00	103.00	166.00	0.00200889
91.00	103.00	167.00	0.00202696
91.00	104.00	12.00	0.00199036
91.00	104.00	77.00	0.00197416
91.00	104.00	78.00	0.00200843
91.00	104.00	102.00	0.00199036
91.00	104.00	167.00	0.00197416
91.00	104.00	168.00	0.00200843
91.00	105.00	11.00	0.0019709
91.00	105.00	79.00	0.00200843
91.00	105.00	101.00	0.0019709
91.00	105.00	169.00	0.00200843
91.00	106.00	10.00	0.00190995
91.00	106.00	79.00	0.00193092
91.00	106.00	100.00	0.00190995
91.00	106.00	169.00	0.00193092
91.00	169.00	0.00	0.00201922
91.00	169.00	1.00	0.00201922
91.00	169.00	2.00	0.00201922
91.00	169.00	3.00	0.00201922
91.00	169.00	4.00	0.00201922
91.00	169.00	5.00	0.00201922
91.00	169.00	6.00	0.00201922
91.00	169.00	7.00	0.00202167
91.00	169.00	8.00	0.00202167
91.00	169.00	9.00	0.00202167
91.00	169.00	10.00	0.00202167
91.00	169.00	11.00	0.00202167
91.00	169.00	12.00	0.00202167
91.00	169.00	13.00	0.00202167
91.00	169.00	14.00	0.00202167
91.00	169.00	15.00	0.00205567
91.00	169.00	16.00	0.00205567
91.00	169.00	19.00	0.00206337
91.00	169.00	20.00	0.00206337
91.00	169.00	21.00	0.00203348
91.00	169.00	36.00	0.00196376
91.00	169.00	37.00	0.00196376
91.00	169.00	38.00	0.00196376
91.00	169.00	39.00	0.00192955
91.00	169.00	40.00	0.00188908
91.00	169.00	41.00	0.00188908
91.00	169.00	42.00	0.00188908
91.00	169.00	43.00	0.0018921
91.00	169.00	44.00	0.0018921
91.00	169.00	74.00	0.00197574
91.00	169.00	75.00	0.00201088
91.00	169.00	76.00	0.00201088
91.00	169.00	77.00	0.00201088
91.00	169.00	78.00	0.00201088
91.00	169.00	79.00	0.00201922
91.00	169.00	80.00	0.00201922
91.00	169.00	81.00	0.00201922
91.00	169.00	82.00	0.00201922
91.00	169.00	83.00	0.00201922
91.00	169.00	84.00	0.00201922
91.00	169.00	85.00	0.00201922
91.00	169.00	86.00	0.00201922
91.00	169.00	87.00	0.00201922
91.00	169.00	88.00	0.00201922
91.00	169.00	89.00	0.00201922
91.00	169.00	90.00	0.00201922
91.00	169.00	91.00	0.00201922
91.00	169.00	92.00	0.00201922
91.00	169.00	93.00	0.00201922
91.00	169.00	94.00	0.00201922
91.00	169.00	95.00	0.00201922
91.00	169.00	96.00	0.00201922
91.00	169.00	97.00	0.00202167
91.00	169.00	98.00	0.00202167
91.00	169.00	99.00	0.00202167
91.00	169.00	100.00	0.00202167
91.00	169.00	101.00	0.00202167
91.00	169.00	102.00	0.00202167
91.00	169.00	103.00	0.00202167
91.00	169.00	104.00	0.00202167
91.00	169.00	105.00	0.00205567
91.00	169.00	106.00	0.00205567
91.00	169.00	109.00	0.00206337
91.00	169.00	110.00	0.00206337
91.00	169.00	111.00	0.00203348
91.00	169.00	126.00	0.00196376
91.00	169.00	127.00	0.00196376
91.00	169.00	128.00	0.00196376
91.00	169.00	129.00	0.00192955
91.00	169.00	130.00	0.00188908
91.00	169.00	131.00	0.00188908
91.00	169.00	132.00	0.00188908
91.00	169.00	133.00	0.0018921
91.00	169.00	134.00	0.0018921
91.00	169.00	164.00	0.00197574
91.00	169.00	165.00	0.00201088
91.00	169.00	166.00	0.00201088
91.00	169.00	167.00	0.00201088
91.00	169.00	168.00	0.00201088
91.00	169.00	169.00	0.00201922
91.00	169.00	170.00	0.00201922
91.00	169.00	171.00	0.00201922
91.00	169.00	172.00	0.00201922
91.00	169.00	173.00	0.00201922
91.00	169.00	174.00	0.00201922
91.00	169.00	175.00	0.00201922
91.00	169.00	176.00	0.00201922
91.00	169.00	177.00	0.00201922
91.00	169.00	178.00	0.00201922
91.00	169.00	179.00	0.00201922
91.00	169.00	180.00	0.00201922
92.00	11.00	0.00	0.00201922
92.00	11.00	1.00	0.00201922
92.00	11.00	2.00	0.00201922
92.00	11.00	3.00	0.00201922
92.00	11.00	4.00	0.00201922
92.00	11.00	5.00	0.00201922
92.00	11.00	6.00	0.00201922
92.00	11.00	7.00	0.00201088
92.00	11.00	8.00	0.00201088
92.00	11.00	9.00	0.00201088
92.00	11.00	10.00	0.00201088
92.00	11.00	11.00	0.00201088
92.00	11.00	12.00	0.00201088
